name,location,id,date
NewYork_136_2002.23,NewYork,136,2002.23
NewYork_108_2002.1,NewYork,108,2002.1
NewYork_111_2002.12,NewYork,111,2002.12
NewYork_140_2000.01,NewYork,140,2000.01
NewYork_454_1999.05,NewYork,454,1999.05
NewYork_580_1996.95,NewYork,580,1996.95
NewYork_74_2002.07,NewYork,74,2002.07
NewYork_164_2000.01,NewYork,164,2000.01
NewYork_271_2003.93,NewYork,271,2003.93
NewYork_611_1996.01,NewYork,611,1996.01
NewYork_260_1999.13,NewYork,260,1999.13
NewYork_109_2002.1,NewYork,109,2002.1
NewYork_777_1993.23,NewYork,777,1993.23
NewYork_199_2003.24,NewYork,199,2003.24
NewYork_392_2004.99,NewYork,392,2004.99
NewYork_379_2004.94,NewYork,379,2004.94
NewYork_543_1998.15,NewYork,543,1998.15
NewYork_375_2005.1,NewYork,375,2005.1
NewYork_462_2005.13,NewYork,462,2005.13
NewYork_355_2004.86,NewYork,355,2004.86
NewYork_547_1998.01,NewYork,547,1998.01
NewYork_792_1993.2,NewYork,792,1993.2
NewYork_592_1996.94,NewYork,592,1996.94
NewYork_518_1998.03,NewYork,518,1998.03
NewYork_411_2002.08,NewYork,411,2002.08
NewYork_696_1995.01,NewYork,696,1995.01
NewYork_104_2002.07,NewYork,104,2002.07
NewYork_275_2002.03,NewYork,275,2002.03
NewYork_288_1999.17,NewYork,288,1999.17
NewYork_67_2004.01,NewYork,67,2004.01
NewYork_371_2004.96,NewYork,371,2004.96
NewYork_32_2003.93,NewYork,32,2003.93
NewYork_408_2002.05,NewYork,408,2002.05
NewYork_705_1994.1,NewYork,705,1994.1
NewYork_581_1997.06,NewYork,581,1997.06
NewYork_504_1998.02,NewYork,504,1998.02
NewYork_509_1997.99,NewYork,509,1997.99
NewYork_785_1993.25,NewYork,785,1993.25
NewYork_510_1998.16,NewYork,510,1998.16
NewYork_501_1997.92,NewYork,501,1997.92
NewYork_165_2000.07,NewYork,165,2000.07
NewYork_637_1996.06,NewYork,637,1996.06
NewYork_182_2000.15,NewYork,182,2000.15
NewYork_799_1993.2,NewYork,799,1993.2
NewYork_798_1993.2,NewYork,798,1993.2
NewYork_572_1996.96,NewYork,572,1996.96
NewYork_91_2002.07,NewYork,91,2002.07
NewYork_27_2003.84,NewYork,27,2003.84
NewYork_524_1998.02,NewYork,524,1998.02
NewYork_257_1999.11,NewYork,257,1999.11
NewYork_48_2003.96,NewYork,48,2003.96
NewYork_500_2004.96,NewYork,500,2004.96
NewYork_7_2003.85,NewYork,7,2003.85
NewYork_369_2005.03,NewYork,369,2005.03
NewYork_54_2003.96,NewYork,54,2003.96
NewYork_332_1999.15,NewYork,332,1999.15
NewYork_767_1993.27,NewYork,767,1993.27
NewYork_540_1998.14,NewYork,540,1998.14
NewYork_422_1999.97,NewYork,422,1999.97
NewYork_628_1995.96,NewYork,628,1995.96
NewYork_5_2004.04,NewYork,5,2004.04
NewYork_171_2000.01,NewYork,171,2000.01
NewYork_801_1993.2,NewYork,801,1993.2
NewYork_568_1996.96,NewYork,568,1996.96
NewYork_170_2000.03,NewYork,170,2000.03
NewYork_6_2004.04,NewYork,6,2004.04
NewYork_529_1998.18,NewYork,529,1998.18
NewYork_464_2005.2,NewYork,464,2005.2
NewYork_598_1996.98,NewYork,598,1996.98
NewYork_378_2005.03,NewYork,378,2005.03
NewYork_243_2005.11,NewYork,243,2005.11
NewYork_477_2003.9,NewYork,477,2003.9
NewYork_153_1999.96,NewYork,153,1999.96
NewYork_685_1995.12,NewYork,685,1995.12
NewYork_95_2002.18,NewYork,95,2002.18
NewYork_265_1999.1,NewYork,265,1999.1
NewYork_516_1998,NewYork,516,1998
NewYork_207_2004.96,NewYork,207,2004.96
NewYork_286_1999.23,NewYork,286,1999.23
NewYork_562_1996.97,NewYork,562,1996.97
NewYork_766_1993.14,NewYork,766,1993.14
NewYork_474_2004.02,NewYork,474,2004.02
NewYork_186_2000,NewYork,186,2000
NewYork_190_2004.88,NewYork,190,2004.88
NewYork_451_1999.05,NewYork,451,1999.05
NewYork_639_1995.98,NewYork,639,1995.98
NewYork_247_1998.85,NewYork,247,1998.85
NewYork_47_2003.97,NewYork,47,2003.97
NewYork_267_2003.93,NewYork,267,2003.93
NewYork_576_1997.03,NewYork,576,1997.03
NewYork_505_1997.94,NewYork,505,1997.94
NewYork_317_1999.03,NewYork,317,1999.03
NewYork_259_1999.11,NewYork,259,1999.11
NewYork_200_2004.92,NewYork,200,2004.92
NewYork_214_2003.33,NewYork,214,2003.33
NewYork_382_2005.1,NewYork,382,2005.1
NewYork_634_1996.95,NewYork,634,1996.95
NewYork_439_2000.08,NewYork,439,2000.08
NewYork_262_1999.08,NewYork,262,1999.08
NewYork_506_1998.11,NewYork,506,1998.11
NewYork_690_1995.06,NewYork,690,1995.06
NewYork_51_2003.96,NewYork,51,2003.96
NewYork_666_1995.12,NewYork,666,1995.12
NewYork_617_1996.23,NewYork,617,1996.23
NewYork_753_1994.14,NewYork,753,1994.14
NewYork_376_2005.07,NewYork,376,2005.07
NewYork_660_1995.18,NewYork,660,1995.18
NewYork_530_1998.07,NewYork,530,1998.07
NewYork_43_2003.96,NewYork,43,2003.96
NewYork_741_1994.18,NewYork,741,1994.18
NewYork_409_2002.06,NewYork,409,2002.06
NewYork_143_1999.92,NewYork,143,1999.92
NewYork_80_2002.01,NewYork,80,2002.01
NewYork_654_1994.85,NewYork,654,1994.85
NewYork_574_1996.96,NewYork,574,1996.96
NewYork_328_1999.01,NewYork,328,1999.01
NewYork_749_1994.04,NewYork,749,1994.04
NewYork_154_2000.08,NewYork,154,2000.08
NewYork_367_2005.15,NewYork,367,2005.15
NewYork_684_1995.08,NewYork,684,1995.08
NewYork_23_2003.98,NewYork,23,2003.98
NewYork_384_2005.04,NewYork,384,2005.04
NewYork_250_1998.96,NewYork,250,1998.96
NewYork_623_1996.01,NewYork,623,1996.01
NewYork_324_1999.09,NewYork,324,1999.09
NewYork_69_2004.04,NewYork,69,2004.04
NewYork_77_2002.01,NewYork,77,2002.01
NewYork_114_2002.19,NewYork,114,2002.19
NewYork_185_2000,NewYork,185,2000
NewYork_167_2000.01,NewYork,167,2000.01
NewYork_179_1999.92,NewYork,179,1999.92
NewYork_278_1999.11,NewYork,278,1999.11
NewYork_467_2004.73,NewYork,467,2004.73
NewYork_193_2003.16,NewYork,193,2003.16
NewYork_356_2004.94,NewYork,356,2004.94
NewYork_377_2004.99,NewYork,377,2004.99
NewYork_113_2002.1,NewYork,113,2002.1
NewYork_180_2000.13,NewYork,180,2000.13
NewYork_370_2004.99,NewYork,370,2004.99
NewYork_712_1993.93,NewYork,712,1993.93
NewYork_263_1999.13,NewYork,263,1999.13
NewYork_158_2000.06,NewYork,158,2000.06
NewYork_461_2005.11,NewYork,461,2005.11
NewYork_546_1998.09,NewYork,546,1998.09
NewYork_390_2005.04,NewYork,390,2005.04
NewYork_603_1996.96,NewYork,603,1996.96
NewYork_570_1996.96,NewYork,570,1996.96
NewYork_98_2004.87,NewYork,98,2004.87
NewYork_465_2005.21,NewYork,465,2005.21
NewYork_316_1999.09,NewYork,316,1999.09
NewYork_121_2002.18,NewYork,121,2002.18
NewYork_520_1998.03,NewYork,520,1998.03
NewYork_331_1999.09,NewYork,331,1999.09
NewYork_438_2000.07,NewYork,438,2000.07
NewYork_679_1995.18,NewYork,679,1995.18
NewYork_549_1998.07,NewYork,549,1998.07
NewYork_622_1996.04,NewYork,622,1996.04
NewYork_641_1996.02,NewYork,641,1996.02
NewYork_648_1996.02,NewYork,648,1996.02
NewYork_4_2003.96,NewYork,4,2003.96
NewYork_101_2002.12,NewYork,101,2002.12
NewYork_677_1995.15,NewYork,677,1995.15
NewYork_803_1993.2,NewYork,803,1993.2
NewYork_555_1996.99,NewYork,555,1996.99
NewYork_693_1995.23,NewYork,693,1995.23
NewYork_512_1998.1,NewYork,512,1998.1
NewYork_683_1995.18,NewYork,683,1995.18
