name,location,id,date,season
NewYork_692_1995.06,NewYork,692,1995.06,1994-1995
NewYork_669_1995.04,NewYork,669,1995.04,1994-1995
NewYork_25_2003.98,NewYork,25,2003.98,2003-2004
NewYork_471_2004.88,NewYork,471,2004.88,2004-2005
NewYork_363_2004.98,NewYork,363,2004.98,2004-2005
NewYork_44_2003.96,NewYork,44,2003.96,2003-2004
NewYork_647_1996,NewYork,647,1996,1995-1996
NewYork_311_1999.18,NewYork,311,1999.18,1998-1999
NewYork_732_1994.03,NewYork,732,1994.03,1993-1994
NewYork_13_2003.88,NewYork,13,2003.88,2003-2004
NewYork_339_1999.13,NewYork,339,1999.13,1998-1999
NewYork_544_1998.11,NewYork,544,1998.11,1997-1998
NewYork_16_2003.88,NewYork,16,2003.88,2003-2004
NewYork_149_1999.93,NewYork,149,1999.93,1999-2000
NewYork_434_2000.04,NewYork,434,2000.04,1999-2000
NewYork_124_2001.93,NewYork,124,2001.93,2001-2002
NewYork_475_2003.96,NewYork,475,2003.96,2003-2004
NewYork_667_1995.04,NewYork,667,1995.04,1994-1995
NewYork_407_2002.04,NewYork,407,2002.04,2001-2002
NewYork_428_1999.76,NewYork,428,1999.76,1999-2000
NewYork_688_1994.96,NewYork,688,1994.96,1994-1995
NewYork_527_1998.22,NewYork,527,1998.22,1997-1998
NewYork_744_1994.06,NewYork,744,1994.06,1993-1994
NewYork_215_2003.33,NewYork,215,2003.33,2002-2003
NewYork_172_2000,NewYork,172,2000,1999-2000
NewYork_178_2000.18,NewYork,178,2000.18,1999-2000
NewYork_12_2003.97,NewYork,12,2003.97,2003-2004
NewYork_631_1996.27,NewYork,631,1996.27,1995-1996
NewYork_150_2000.09,NewYork,150,2000.09,1999-2000
NewYork_731_1994.2,NewYork,731,1994.2,1993-1994
NewYork_733_1994.12,NewYork,733,1994.12,1993-1994
NewYork_590_1996.96,NewYork,590,1996.96,1996-1997
NewYork_470_2004.76,NewYork,470,2004.76,2004-2005
NewYork_709_1994.03,NewYork,709,1994.03,1993-1994
NewYork_539_1998.13,NewYork,539,1998.13,1997-1998
NewYork_608_1996.27,NewYork,608,1996.27,1995-1996
NewYork_469_2004.74,NewYork,469,2004.74,2004-2005
NewYork_747_1994.05,NewYork,747,1994.05,1993-1994
NewYork_285_1999.08,NewYork,285,1999.08,1998-1999
NewYork_31_2004.03,NewYork,31,2004.03,2003-2004
NewYork_304_1999.01,NewYork,304,1999.01,1998-1999
NewYork_188_1999.97,NewYork,188,1999.97,1999-2000
NewYork_410_2002.06,NewYork,410,2002.06,2001-2002
NewYork_687_1995.12,NewYork,687,1995.12,1994-1995
NewYork_610_1995.98,NewYork,610,1995.98,1995-1996
NewYork_571_1996.98,NewYork,571,1996.98,1996-1997
NewYork_273_2002.01,NewYork,273,2002.01,2001-2002
NewYork_94_2002,NewYork,94,2002,2001-2002
NewYork_599_1996.98,NewYork,599,1996.98,1996-1997
NewYork_330_1999.01,NewYork,330,1999.01,1998-1999
NewYork_397_1999.11,NewYork,397,1999.11,1998-1999
